#TYPE System.Management.Automation.PSCustomObject
"index","type","ip","name","status","time","rtt","count","downtime"
"6","icmp","192.168.11.13","OLA Server Master - Arena","40","2025-07-17 15:13:25","","6","2025-07-17 15:13:13"
"11","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:13:25","","6","2025-07-17 15:13:13"
"13","icmp","10.20.10.12","SSW02 - Switch Verifiering 1","40","2025-07-17 15:13:26","","6","2025-07-17 15:13:14"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:13:36","","39","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:13:36","","39","2025-07-17 15:06:55"
"6","icmp","192.168.11.13","OLA Server Master - Arena","40","2025-07-17 15:13:37","","7","2025-07-17 15:13:13"
"11","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:13:37","","7","2025-07-17 15:13:13"
"13","icmp","10.20.10.12","SSW02 - Switch Verifiering 1","40","2025-07-17 15:13:38","","7","2025-07-17 15:13:14"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:13:48","","40","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:13:48","","40","2025-07-17 15:06:55"
"6","icmp","192.168.11.13","OLA Server Master - Arena","40","2025-07-17 15:13:49","","8","2025-07-17 15:13:13"
"11","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:13:49","","8","2025-07-17 15:13:13"
"13","icmp","10.20.10.12","SSW02 - Switch Verifiering 1","40","2025-07-17 15:13:50","","8","2025-07-17 15:13:14"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:14:00","","41","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:14:00","","41","2025-07-17 15:06:55"
"6","icmp","192.168.11.13","OLA Server Master - Arena","40","2025-07-17 15:14:01","","9","2025-07-17 15:13:13"
"11","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:14:01","","9","2025-07-17 15:13:13"
"13","icmp","10.20.10.12","SSW02 - Switch Verifiering 1","40","2025-07-17 15:14:02","","9","2025-07-17 15:13:14"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:14:13","","42","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:14:13","","42","2025-07-17 15:06:55"
"6","icmp","192.168.11.13","OLA Server Master - Arena","40","2025-07-17 15:14:13","","10","2025-07-17 15:13:13"
"11","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:14:14","","10","2025-07-17 15:13:13"
"13","icmp","10.20.10.12","SSW02 - Switch Verifiering 1","40","2025-07-17 15:14:14","","10","2025-07-17 15:13:14"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:14:25","","43","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:14:25","","43","2025-07-17 15:06:55"
"6","icmp","192.168.11.13","OLA Server Master - Arena","40","2025-07-17 15:14:25","","11","2025-07-17 15:13:13"
"11","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:14:26","","11","2025-07-17 15:13:13"
"13","icmp","10.20.10.12","SSW02 - Switch Verifiering 1","40","2025-07-17 15:14:26","","11","2025-07-17 15:13:14"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:14:37","","44","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:14:37","","44","2025-07-17 15:06:55"
"6","icmp","192.168.11.13","OLA Server Master - Arena","40","2025-07-17 15:14:37","","12","2025-07-17 15:13:13"
"11","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:14:38","","12","2025-07-17 15:13:13"
"13","icmp","10.20.10.12","SSW02 - Switch Verifiering 1","40","2025-07-17 15:14:38","","12","2025-07-17 15:13:14"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:14:49","","45","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:14:49","","45","2025-07-17 15:06:55"
"6","icmp","192.168.11.13","OLA Server Master - Arena","40","2025-07-17 15:14:49","","13","2025-07-17 15:13:13"
"11","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:14:50","","13","2025-07-17 15:13:13"
"13","icmp","10.20.10.12","SSW02 - Switch Verifiering 1","40","2025-07-17 15:14:50","","13","2025-07-17 15:13:14"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:15:01","","46","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:15:01","","46","2025-07-17 15:06:55"
"6","icmp","192.168.11.13","OLA Server Master - Arena","40","2025-07-17 15:15:01","","14","2025-07-17 15:13:13"
"11","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:15:02","","14","2025-07-17 15:13:13"
"13","icmp","10.20.10.12","SSW02 - Switch Verifiering 1","40","2025-07-17 15:15:02","","14","2025-07-17 15:13:14"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:15:13","","47","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:15:13","","47","2025-07-17 15:06:55"
"6","icmp","192.168.11.13","OLA Server Master - Arena","40","2025-07-17 15:15:13","","15","2025-07-17 15:13:13"
"11","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:15:14","","15","2025-07-17 15:13:13"
"13","icmp","10.20.10.12","SSW02 - Switch Verifiering 1","40","2025-07-17 15:15:14","","15","2025-07-17 15:13:14"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:15:25","","48","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:15:25","","48","2025-07-17 15:06:55"
"6","icmp","192.168.11.13","OLA Server Master - Arena","40","2025-07-17 15:15:25","","16","2025-07-17 15:13:13"
